genosisEntityIRI;localOSNEntityIRI
http://example.org/genosis.owl#Global:hasIpAddress;http://saralutami.org/OnlineSocialNetworkSites#hasNotificationIP^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OSN:Poll;http://saralutami.org/OnlineSocialNetworkSites#Polls^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#MP:Live;http://saralutami.org/OnlineSocialNetworkSites#LiveVideo^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OSN:ReelVideo;http://saralutami.org/OnlineSocialNetworkSites#ReelVideo^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:repliesToComment;http://saralutami.org/OnlineSocialNetworkSites#repliesOnComment^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasGroupCoverPhoto;http://saralutami.org/OnlineSocialNetworkSites#hasGroupCoverPhoto^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:sendsVoiceNoteTo;http://saralutami.org/OnlineSocialNetworkSites#sendsVoiceNoteTo^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OSN:AccountSettings;http://saralutami.org/OnlineSocialNetworkSites#AccountSettings^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:editsAvatar;http://saralutami.org/OnlineSocialNetworkSites#editsAvatar^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:repliesToMessage;http://saralutami.org/OnlineSocialNetworkSites#repliesToMessage^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OSN:User;http://saralutami.org/OnlineSocialNetworkSites#User^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#hasUsername;http://saralutami.org/OnlineSocialNetworkSites#hasUsername^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OSN:SecuritySettings;http://saralutami.org/OnlineSocialNetworkSites#SecuritySettings^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:hasLastActivityTimestamp;http://saralutami.org/OnlineSocialNetworkSites#hasLastLogin^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#Global:notificationStatus;http://saralutami.org/OnlineSocialNetworkSites#hasNotificationStatus^^<http://www.w3.org/2001/XMLSchema#string>
http://example.org/genosis.owl#OSN:Group;http://saralutami.org/OnlineSocialNetworkSites#Groups^^<http://www.w3.org/2001/XMLSchema#string>
